episode,steps,reward,visited,n_floor,visited_ratio
1,33,19.469999999999988,23,23,1.0
2,200,-2.0000000000000013,1,17,0.058823529411764705
3,37,15.029999999999985,20,20,1.0
4,25,19.949999999999992,22,22,1.0
5,16,15.840000000000002,17,17,1.0
6,34,18.059999999999985,22,22,1.0
7,33,15.869999999999992,20,20,1.0
8,39,18.20999999999998,23,23,1.0
9,34,19.259999999999984,23,23,1.0
10,26,14.939999999999994,18,18,1.0
11,35,17.849999999999984,22,22,1.0
12,31,16.289999999999992,20,20,1.0
13,8,7.920000000000001,9,9,1.0
14,27,19.52999999999999,22,22,1.0
15,29,16.709999999999994,20,20,1.0
16,35,17.849999999999984,22,22,1.0
17,31,16.289999999999992,20,20,1.0
18,25,17.549999999999997,20,20,1.0
19,19,12.810000000000002,15,15,1.0
20,38,18.41999999999998,23,23,1.0
21,16,11.04,13,13,1.0
22,16,15.840000000000002,17,17,1.0
23,29,11.90999999999999,16,16,1.0
24,33,15.869999999999992,20,20,1.0
25,32,16.079999999999988,20,20,1.0
26,36,18.839999999999982,23,23,1.0
27,29,20.309999999999988,23,23,1.0
28,31,16.289999999999992,20,20,1.0
29,23,17.97,20,20,1.0
30,31,16.289999999999992,20,20,1.0
31,22,15.78,18,18,1.0
32,34,19.259999999999984,23,23,1.0
33,24,21.359999999999992,23,23,1.0
34,37,15.029999999999987,20,20,1.0
35,33,15.86999999999999,20,20,1.0
36,31,16.289999999999992,20,20,1.0
37,29,16.709999999999994,20,20,1.0
38,19,11.61,14,14,1.0
39,34,19.259999999999984,23,23,1.0
40,33,15.86999999999999,20,20,1.0
41,33,15.869999999999992,20,20,1.0
42,24,20.159999999999993,22,22,1.0
43,33,15.869999999999989,20,20,1.0
44,23,17.97,20,20,1.0
45,28,20.51999999999999,23,23,1.0
46,33,15.86999999999999,20,20,1.0
47,23,17.97,20,20,1.0
48,27,17.13,20,20,1.0
49,29,16.709999999999997,20,20,1.0
50,15,8.850000000000001,11,11,1.0
51,12,7.080000000000001,9,9,1.0
52,29,20.309999999999988,23,23,1.0
53,23,20.369999999999994,22,22,1.0
54,31,16.289999999999992,20,20,1.0
55,37,15.029999999999989,20,20,1.0
56,23,13.170000000000002,16,16,1.0
57,27,11.12999999999999,15,15,1.0
58,37,15.029999999999987,20,20,1.0
59,33,19.469999999999985,23,23,1.0
60,28,19.31999999999999,22,22,1.0
61,30,20.099999999999987,23,23,1.0
62,31,16.289999999999992,20,20,1.0
63,26,19.73999999999999,22,22,1.0
64,24,20.159999999999993,22,22,1.0
65,28,16.91999999999999,20,20,1.0
66,33,15.86999999999999,20,20,1.0
67,18,14.22,16,16,1.0
68,25,21.14999999999999,23,23,1.0
69,29,16.709999999999994,20,20,1.0
70,8,7.920000000000001,9,9,1.0
71,37,15.029999999999989,20,20,1.0
72,25,17.549999999999994,20,20,1.0
73,26,20.93999999999999,23,23,1.0
74,24,21.359999999999992,23,23,1.0
75,31,19.889999999999986,23,23,1.0
76,33,19.469999999999988,23,23,1.0
77,24,14.159999999999998,17,17,1.0
78,25,19.949999999999992,22,22,1.0
79,31,16.289999999999992,20,20,1.0
80,30,18.899999999999988,22,22,1.0
81,23,17.97,20,20,1.0
82,21,8.789999999999994,12,12,1.0
83,27,17.13,20,20,1.0
84,33,18.269999999999985,22,22,1.0
85,34,19.259999999999984,23,23,1.0
86,31,16.289999999999992,20,20,1.0
87,31,18.689999999999987,22,22,1.0
88,29,20.309999999999988,23,23,1.0
89,27,11.12999999999999,15,15,1.0
90,30,16.49999999999999,20,20,1.0
91,12,7.080000000000001,9,9,1.0
92,35,17.849999999999984,22,22,1.0
93,22,21.779999999999994,23,23,1.0
94,38,18.41999999999998,23,23,1.0
95,32,16.079999999999988,20,20,1.0
96,31,16.289999999999992,20,20,1.0
97,28,16.91999999999999,20,20,1.0
98,33,15.869999999999992,20,20,1.0
99,32,18.47999999999999,22,22,1.0
100,25,21.14999999999999,23,23,1.0
101,27,20.72999999999999,23,23,1.0
102,37,15.029999999999987,20,20,1.0
103,200,-2.0000000000000013,1,11,0.09090909090909091
104,33,15.869999999999994,20,20,1.0
105,37,18.62999999999998,23,23,1.0
106,15,8.850000000000001,11,11,1.0
107,32,16.079999999999988,20,20,1.0
108,200,-2.0000000000000013,1,10,0.1
109,36,18.839999999999982,23,23,1.0
110,30,16.49999999999999,20,20,1.0
111,28,14.519999999999992,18,18,1.0
112,33,15.869999999999992,20,20,1.0
113,34,19.259999999999984,23,23,1.0
114,33,19.469999999999985,23,23,1.0
115,29,20.309999999999988,23,23,1.0
116,28,20.51999999999999,23,23,1.0
117,15,14.850000000000001,16,16,1.0
118,37,15.029999999999989,20,20,1.0
119,35,17.849999999999984,22,22,1.0
120,200,-2.0000000000000013,1,16,0.0625
121,31,19.889999999999986,23,23,1.0
122,22,18.179999999999996,20,20,1.0
123,27,17.129999999999995,20,20,1.0
124,37,15.029999999999987,20,20,1.0
125,26,17.339999999999993,20,20,1.0
126,35,19.049999999999983,23,23,1.0
127,12,11.88,13,13,1.0
128,25,17.549999999999997,20,20,1.0
129,27,20.72999999999999,23,23,1.0
130,29,11.90999999999999,16,16,1.0
131,15,10.05,12,12,1.0
132,37,15.029999999999987,20,20,1.0
133,32,18.479999999999986,22,22,1.0
134,25,17.549999999999997,20,20,1.0
135,29,16.709999999999994,20,20,1.0
136,37,15.029999999999987,20,20,1.0
137,31,19.889999999999986,23,23,1.0
138,35,17.849999999999984,22,22,1.0
139,28,19.31999999999999,22,22,1.0
140,22,15.780000000000001,18,18,1.0
141,27,19.52999999999999,22,22,1.0
142,23,15.57,18,18,1.0
143,37,15.029999999999987,20,20,1.0
144,16,8.64,11,11,1.0
145,12,8.280000000000001,10,10,1.0
146,27,20.72999999999999,23,23,1.0
147,32,16.079999999999988,20,20,1.0
148,24,17.759999999999994,20,20,1.0
149,32,18.47999999999999,22,22,1.0
150,200,-2.0000000000000013,1,11,0.09090909090909091
151,24,20.159999999999993,22,22,1.0
152,30,20.099999999999987,23,23,1.0
153,34,19.259999999999984,23,23,1.0
154,31,16.289999999999992,20,20,1.0
155,34,18.059999999999985,22,22,1.0
156,39,18.20999999999998,23,23,1.0
157,14,7.860000000000001,10,10,1.0
158,33,15.86999999999999,20,20,1.0
159,25,17.549999999999997,20,20,1.0
160,34,19.259999999999984,23,23,1.0
161,29,16.709999999999994,20,20,1.0
162,10,8.700000000000001,10,10,1.0
163,21,8.789999999999994,12,12,1.0
164,31,16.289999999999992,20,20,1.0
165,25,19.949999999999992,22,22,1.0
166,32,19.679999999999986,23,23,1.0
167,23,20.369999999999994,22,22,1.0
168,31,16.289999999999996,20,20,1.0
169,37,17.429999999999982,22,22,1.0
170,200,-2.0000000000000013,1,12,0.08333333333333333
171,37,15.029999999999987,20,20,1.0
172,27,20.729999999999993,23,23,1.0
173,37,15.029999999999985,20,20,1.0
174,31,16.289999999999992,20,20,1.0
175,21,14.790000000000001,17,17,1.0
176,25,13.949999999999996,17,17,1.0
177,23,21.569999999999993,23,23,1.0
178,34,19.259999999999987,23,23,1.0
179,25,17.549999999999997,20,20,1.0
180,26,17.339999999999993,20,20,1.0
181,35,17.849999999999984,22,22,1.0
182,37,15.029999999999987,20,20,1.0
183,29,19.10999999999999,22,22,1.0
184,26,14.939999999999994,18,18,1.0
185,37,15.029999999999985,20,20,1.0
186,34,18.059999999999985,22,22,1.0
187,30,18.899999999999988,22,22,1.0
188,34,18.059999999999985,22,22,1.0
189,22,18.179999999999996,20,20,1.0
190,19,8.009999999999998,11,11,1.0
191,200,-2.0000000000000013,1,13,0.07692307692307693
192,22,13.379999999999995,16,16,1.0
193,8,7.920000000000001,9,9,1.0
194,31,19.889999999999986,23,23,1.0
195,26,20.93999999999999,23,23,1.0
196,20,16.2,18,18,1.0
197,20,14.999999999999998,17,17,1.0
198,26,20.93999999999999,23,23,1.0
199,24,20.159999999999993,22,22,1.0
200,21,14.790000000000001,17,17,1.0
201,31,19.889999999999986,23,23,1.0
202,26,20.93999999999999,23,23,1.0
203,31,16.289999999999992,20,20,1.0
204,25,17.55,20,20,1.0
205,27,11.12999999999999,15,15,1.0
206,13,8.07,10,10,1.0
207,37,18.62999999999998,23,23,1.0
208,28,19.31999999999999,22,22,1.0
209,33,15.86999999999999,20,20,1.0
210,37,18.62999999999998,23,23,1.0
211,38,18.41999999999998,23,23,1.0
212,33,15.86999999999999,20,20,1.0
213,36,17.639999999999983,22,22,1.0
214,24,12.959999999999999,16,16,1.0
215,12,11.88,13,13,1.0
216,24,20.159999999999993,22,22,1.0
217,33,15.869999999999996,20,20,1.0
218,25,17.55,20,20,1.0
219,10,8.700000000000001,10,10,1.0
220,12,7.080000000000001,9,9,1.0
221,33,19.469999999999985,23,23,1.0
222,27,20.72999999999999,23,23,1.0
223,12,11.88,13,13,1.0
224,33,15.869999999999996,20,20,1.0
225,24,17.759999999999994,20,20,1.0
226,30,18.899999999999988,22,22,1.0
227,29,19.10999999999999,22,22,1.0
228,35,17.849999999999984,22,22,1.0
229,36,17.639999999999983,22,22,1.0
230,23,11.969999999999997,15,15,1.0
231,33,15.86999999999999,20,20,1.0
232,30,16.49999999999999,20,20,1.0
233,31,16.289999999999992,20,20,1.0
234,24,12.959999999999994,16,16,1.0
235,31,16.289999999999992,20,20,1.0
236,32,19.679999999999986,23,23,1.0
237,22,13.379999999999999,16,16,1.0
238,11,9.690000000000001,11,11,1.0
239,37,15.029999999999985,20,20,1.0
240,27,20.72999999999999,23,23,1.0
241,26,19.73999999999999,22,22,1.0
242,31,16.289999999999992,20,20,1.0
243,27,20.72999999999999,23,23,1.0
244,33,13.469999999999988,18,18,1.0
245,28,20.51999999999999,23,23,1.0
246,31,16.289999999999992,20,20,1.0
247,33,15.869999999999992,20,20,1.0
248,27,20.729999999999993,23,23,1.0
249,39,18.20999999999998,23,23,1.0
250,22,14.579999999999998,17,17,1.0
251,12,11.88,13,13,1.0
252,28,16.919999999999995,20,20,1.0
253,33,18.26999999999999,22,22,1.0
254,32,16.07999999999999,20,20,1.0
255,34,18.059999999999985,22,22,1.0
256,12,9.48,11,11,1.0
257,35,19.049999999999983,23,23,1.0
258,39,18.20999999999998,23,23,1.0
259,23,20.369999999999994,22,22,1.0
260,39,18.20999999999998,23,23,1.0
261,15,14.850000000000001,16,16,1.0
262,33,15.86999999999999,20,20,1.0
263,31,16.289999999999992,20,20,1.0
264,8,7.920000000000001,9,9,1.0
265,26,20.939999999999994,23,23,1.0
266,32,16.079999999999988,20,20,1.0
267,26,19.739999999999995,22,22,1.0
268,35,17.849999999999987,22,22,1.0
269,18,14.219999999999999,16,16,1.0
270,28,19.319999999999993,22,22,1.0
271,37,18.62999999999998,23,23,1.0
272,25,17.549999999999997,20,20,1.0
273,21,20.789999999999996,22,22,1.0
274,27,17.129999999999995,20,20,1.0
275,24,16.559999999999995,19,19,1.0
276,33,19.469999999999985,23,23,1.0
277,22,21.779999999999994,23,23,1.0
278,37,15.029999999999985,20,20,1.0
279,12,8.280000000000001,10,10,1.0
280,34,19.259999999999984,23,23,1.0
281,29,19.10999999999999,22,22,1.0
282,26,19.73999999999999,22,22,1.0
283,32,19.67999999999999,23,23,1.0
284,23,17.97,20,20,1.0
285,29,16.709999999999994,20,20,1.0
286,37,18.62999999999998,23,23,1.0
287,29,11.90999999999999,16,16,1.0
288,36,17.639999999999983,22,22,1.0
289,23,20.369999999999994,22,22,1.0
290,31,12.68999999999999,17,17,1.0
291,26,20.93999999999999,23,23,1.0
292,25,17.549999999999997,20,20,1.0
293,31,16.289999999999992,20,20,1.0
294,8,7.920000000000001,9,9,1.0
295,31,16.289999999999992,20,20,1.0
296,32,16.079999999999988,20,20,1.0
297,33,15.869999999999992,20,20,1.0
298,17,9.629999999999999,12,12,1.0
299,23,20.369999999999994,22,22,1.0
300,37,15.029999999999987,20,20,1.0
301,37,15.029999999999985,20,20,1.0
302,27,20.72999999999999,23,23,1.0
303,14,9.06,11,11,1.0
304,37,17.429999999999982,22,22,1.0
305,22,18.179999999999996,20,20,1.0
306,200,-2.0000000000000013,1,10,0.1
307,24,11.759999999999994,15,15,1.0
308,25,21.14999999999999,23,23,1.0
309,39,18.20999999999998,23,23,1.0
310,23,13.169999999999995,16,16,1.0
311,29,16.709999999999997,20,20,1.0
312,33,19.469999999999988,23,23,1.0
313,25,17.549999999999997,20,20,1.0
314,31,19.889999999999986,23,23,1.0
315,25,17.549999999999997,20,20,1.0
316,31,16.289999999999992,20,20,1.0
317,29,16.709999999999997,20,20,1.0
318,30,20.099999999999987,23,23,1.0
319,37,18.62999999999998,23,23,1.0
320,32,18.47999999999999,22,22,1.0
321,18,16.62,18,18,1.0
322,37,15.029999999999987,20,20,1.0
323,36,18.839999999999982,23,23,1.0
324,27,17.13,20,20,1.0
325,29,16.709999999999994,20,20,1.0
326,25,10.349999999999993,14,14,1.0
327,14,7.860000000000001,10,10,1.0
328,11,9.690000000000001,11,11,1.0
329,37,15.029999999999987,20,20,1.0
330,33,19.469999999999985,23,23,1.0
331,27,20.72999999999999,23,23,1.0
332,27,14.729999999999995,18,18,1.0
333,30,16.49999999999999,20,20,1.0
334,34,19.259999999999984,23,23,1.0
335,37,15.029999999999985,20,20,1.0
336,29,16.709999999999994,20,20,1.0
337,14,9.06,11,11,1.0
338,29,16.709999999999997,20,20,1.0
339,18,13.02,15,15,1.0
340,25,17.549999999999994,20,20,1.0
341,31,18.68999999999999,22,22,1.0
342,34,18.059999999999985,22,22,1.0
343,27,17.13,20,20,1.0
344,17,14.430000000000001,16,16,1.0
345,30,16.49999999999999,20,20,1.0
346,31,19.889999999999986,23,23,1.0
347,26,19.73999999999999,22,22,1.0
348,37,17.429999999999982,22,22,1.0
349,18,14.22,16,16,1.0
350,27,20.72999999999999,23,23,1.0
351,21,13.590000000000002,16,16,1.0
352,33,15.86999999999999,20,20,1.0
353,23,13.169999999999996,16,16,1.0
354,27,17.129999999999995,20,20,1.0
