Episode,Steps,Reward,Visited,TotalFloor
1,24,20.159999999999993,22,22
2,15,14.850000000000001,16,16
3,29,16.709999999999997,20,20
4,35,17.849999999999984,22,22
5,26,13.739999999999993,17,17
6,37,17.429999999999982,22,22
7,30,16.499999999999996,20,20
8,39,18.20999999999998,23,23
9,28,20.51999999999999,23,23
10,18,16.62,18,18
11,23,20.369999999999994,22,22
12,25,17.549999999999994,20,20
13,12,7.080000000000001,9,9
14,25,19.949999999999996,22,22
15,27,17.13,20,20
16,29,19.10999999999999,22,22
17,29,16.709999999999994,20,20
18,31,16.28999999999999,20,20
19,19,12.810000000000002,15,15
20,27,20.72999999999999,23,23
21,14,11.46,13,13
22,26,13.739999999999993,17,17
23,20,13.8,16,16
